Numero,Area,Centroide_x,Centroide_y,R,G,B
1,46,28.195652173913043,88.58695652173913,0,255,0
2,13,38.76923076923077,159.07692307692307,0,0,255
3,30,40.96666666666667,185.0,255,0,255
4,24,42.416666666666664,204.16666666666666,128,0,0
5,163,49.355828220858896,22.687116564417177,0,128,0
6,39,51.15384615384615,178.89743589743588,0,0,128
7,22,50.36363636363637,235.3181818181818,0,255,255
8,211,57.23696682464455,46.29383886255924,255,0,255
9,124,54.75806451612903,130.33064516129033,128,0,128
10,28,57.107142857142854,104.64285714285714,0,128,0
11,271,70.5239852398524,77.81918819188192,166,208,92
12,64,63.265625,10.265625,131,214,167
13,569,83.37785588752197,207.8541300527241,180,71,209
14,284,76.41549295774648,152.49647887323943,218,121,144
15,4,62.5,94.5,255,0,0
16,86,67.15116279069767,250.8953488372093,0,255,0
17,62,68.40322580645162,187.51612903225808,0,0,255
18,223,79.54708520179372,172.304932735426,255,0,255
19,221,77.01357466063348,124.32126696832579,128,0,0
20,31,75.38709677419355,22.322580645161292,0,128,0
21,114,84.92105263157895,140.78947368421052,0,0,128
22,79,88.17721518987342,231.83544303797467,0,255,255
23,44,93.36363636363636,2.2954545454545454,255,0,255
24,132,96.45454545454545,42.77272727272727,128,0,128
25,114,95.49122807017544,249.6140350877193,0,128,0
26,215,109.22790697674418,77.10697674418604,166,208,92
27,62,104.35483870967742,99.43548387096774,131,214,167
28,620,120.48387096774194,12.346774193548388,180,71,209
29,62,109.08064516129032,117.3225806451613,218,121,144
30,113,109.76106194690266,149.73451327433628,255,0,0
31,60,109.71666666666667,217.43333333333334,0,255,0
32,152,117.61842105263158,238.13815789473685,0,0,255
33,89,118.8314606741573,169.68539325842696,255,0,255
34,78,125.6025641025641,151.34615384615384,128,0,0
35,484,142.19834710743802,95.80785123966942,0,128,0
36,269,134.24163568773236,53.9368029739777,0,0,128
37,84,132.03571428571428,201.22619047619048,0,255,255
38,95,131.46315789473684,219.9578947368421,255,0,255
39,129,139.06201550387595,191.5503875968992,128,0,128
40,90,139.2,29.377777777777776,0,128,0
41,235,143.34468085106383,160.2595744680851,166,208,92
42,228,148.53070175438597,128.859649122807,131,214,167
43,244,155.02459016393442,250.5983606557377,180,71,209
44,121,151.7520661157025,178.88429752066116,218,121,144
45,196,159.22448979591837,41.785714285714285,255,0,0
46,1195,184.12635983263598,51.723012552301256,0,255,0
47,122,157.36885245901638,230.61475409836066,0,0,255
48,117,157.30769230769232,22.71794871794872,255,0,255
49,122,165.25409836065575,208.5737704918033,128,0,0
50,133,170.87218045112783,187.593984962406,0,128,0
51,245,178.98367346938775,150.93061224489796,0,0,128
52,102,174.83333333333334,2.6470588235294117,0,255,255
53,111,173.16216216216216,106.89189189189189,255,0,255
54,158,176.6772151898734,169.9240506329114,128,0,128
55,130,177.77692307692308,230.7,0,128,0
56,119,181.47058823529412,128.58823529411765,166,208,92
57,99,183.59595959595958,93.6969696969697,131,214,167
58,1181,212.72565622353937,112.68755292125317,180,71,209
59,214,200.7663551401869,249.61682242990653,218,121,144
60,119,199.0672268907563,181.00840336134453,255,0,0
61,119,206.07563025210084,162.94117647058823,0,255,0
62,119,205.6218487394958,224.2436974789916,0,0,255
63,451,216.53658536585365,80.27716186252772,255,0,255
64,141,214.91489361702128,190.1631205673759,128,0,0
65,461,225.19739696312365,12.941431670281995,0,128,0
66,434,227.60138248847926,44.336405529953915,0,0,128
67,197,227.87817258883248,247.43654822335026,0,255,255
68,262,231.62977099236642,165.36641221374046,255,0,255
69,128,233.125,222.3046875,128,0,128
70,246,245.09756097560975,69.7560975609756,0,128,0
71,150,243.05333333333334,90.16666666666667,166,208,92
72,413,248.363196125908,142.32929782082326,131,214,167
73,158,249.81645569620252,249.14556962025316,180,71,209
74,153,249.98039215686273,186.28758169934642,218,121,144
75,93,251.08602150537635,17.322580645161292,255,0,0
76,48,252.35416666666666,3.0625,0,255,0
77,1,255.0,76.0,0,0,255
